Story,Cleaned_Story,Sentiment,Sentiment_Score
Woking community hospital had a fantastic service. If you needed a blood test you could queue from 7 am in the morning. It was particularly useful if you had to fast the night before. I recently had to have a blood test which I had to wait 2 weeks for. Im sure my doctors surgery must be under increased pressure with more flats being built in woking and having to do more blood testing. Apparently Woking community will close at some point. I cant understand why such a fantastic little hospital is being closed down.,woking community hospital had a fantastic service if you needed a blood test you could queue from am in the morning it was particularly useful if you had to fast the night before i recently had to have a blood test which i had to wait weeks for im sure my doctors surgery must be under increased pressure with more flats being built in woking and having to do more blood testing apparently woking community will close at some point i cant understand why such a fantastic little hospital is being closed down,Positive,0.18514957264957263
"Our TIs that help out on the ward offer us a variety of activities when they are helping out on the ward. One example is my birthday, where we had really good celebrations, so all thanks to them. They make the best of this current situation.",our tis that help out on the ward offer us a variety of activities when they are helping out on the ward one example is my birthday where we had really good celebrations so all thanks to them they make the best of this current situation,Positive,0.475
"They always get us involved in activities \nI have enjoyed playing board games and going out walking and doing karaoke and just having casual chats. \nThey always encourage people to join in stuff, for example bingo, quizzes, keep fit in the garden.",they always get us involved in activities ni have enjoyed playing board games and going out walking and doing karaoke and just having casual chats nthey always encourage people to join in stuff for example bingo quizzes keep fit in the garden,Positive,0.1333333333333333
"I was given the telephone number by my GP practice one day in May 2020. I was having a tightness and heaviness and some pain in my chest. I phoned the hospital at 11am and a nurse took information from me. I was given an appointment at 12.15 that day for The Cardiac investigation hub.I was seen on time had a ECG ,blood test and other tests done by two medical staff. The results came back about one and a half hours later. Thankfully everything was ok .I was given a lot of information about the results and came away feeling confident .I was also told not to hesitate if I ever felt anyway like this again to seek advice.A very reassuring experience .",i was given the telephone number by my gp practice one day in may i was having a tightness and heaviness and some pain in my chest i phoned the hospital at am and a nurse took information from me i was given an appointment at that day for the cardiac investigation hubi was seen on time had a ecg blood test and other tests done by two medical staff the results came back about one and a half hours later thankfully everything was ok i was given a lot of information about the results and came away feeling confident i was also told not to hesitate if i ever felt anyway like this again to seek advicea very reassuring experience,Positive,0.09537037037037038
Since the start of lockdown we were allocated TIs to help on the ward. This has been one of the most beneficial things ever to happen\nTheyve kept us motivated and occupied us when we were struggling.\nIts really helped us with lockdown to stay tocuies and positive. They continue to work hard and do their job.\nMany thanks to all the TIs - theyve really helped us when we needed them most.,since the start of lockdown we were allocated tis to help on the ward this has been one of the most beneficial things ever to happenntheyve kept us motivated and occupied us when we were strugglingnits really helped us with lockdown to stay tocuies and positive they continue to work hard and do their jobnmany thanks to all the tis theyve really helped us when we needed them most,Positive,0.21937229437229436
"I just want to say a big thank you to DRC staff Jo Karen and Jacqui for doing compound Karaoke.\nThey got the songs and sang to us and we all joined in from our ward gardens, it really made our day and they always go our of their way to try and make us happy.",i just want to say a big thank you to drc staff jo karen and jacqui for doing compound karaokenthey got the songs and sang to us and we all joined in from our ward gardens it really made our day and they always go our of their way to try and make us happy,Positive,0.3333333333333333
Woking community hospital had a fantastic service. If you needed a blood test you could queue from 7 am in the morning. It was particularly useful if you had to fast the night before. I recently had to have a blood test which I had to wait 2 weeks for. Im sure my doctors surgery must be under increased pressure with more flats being built in woking and having to do more blood testing. Apparently Woking community will close at some point. I cant understand why such a fantastic little hospital is being closed down.,woking community hospital had a fantastic service if you needed a blood test you could queue from am in the morning it was particularly useful if you had to fast the night before i recently had to have a blood test which i had to wait weeks for im sure my doctors surgery must be under increased pressure with more flats being built in woking and having to do more blood testing apparently woking community will close at some point i cant understand why such a fantastic little hospital is being closed down,Positive,0.18514957264957263
"Our TIs that help out on the ward offer us a variety of activities when they are helping out on the ward. One example is my birthday, where we had really good celebrations, so all thanks to them. They make the best of this current situation.",our tis that help out on the ward offer us a variety of activities when they are helping out on the ward one example is my birthday where we had really good celebrations so all thanks to them they make the best of this current situation,Positive,0.475
"They always get us involved in activities \nI have enjoyed playing board games and going out walking and doing karaoke and just having casual chats. \nThey always encourage people to join in stuff, for example bingo, quizzes, keep fit in the garden.",they always get us involved in activities ni have enjoyed playing board games and going out walking and doing karaoke and just having casual chats nthey always encourage people to join in stuff for example bingo quizzes keep fit in the garden,Positive,0.1333333333333333
"I was given the telephone number by my GP practice one day in May 2020. I was having a tightness and heaviness and some pain in my chest. I phoned the hospital at 11am and a nurse took information from me. I was given an appointment at 12.15 that day for The Cardiac investigation hub.I was seen on time had a ECG ,blood test and other tests done by two medical staff. The results came back about one and a half hours later. Thankfully everything was ok .I was given a lot of information about the results and came away feeling confident .I was also told not to hesitate if I ever felt anyway like this again to seek advice.A very reassuring experience .",i was given the telephone number by my gp practice one day in may i was having a tightness and heaviness and some pain in my chest i phoned the hospital at am and a nurse took information from me i was given an appointment at that day for the cardiac investigation hubi was seen on time had a ecg blood test and other tests done by two medical staff the results came back about one and a half hours later thankfully everything was ok i was given a lot of information about the results and came away feeling confident i was also told not to hesitate if i ever felt anyway like this again to seek advicea very reassuring experience,Positive,0.09537037037037038
